eval_date,sector,alpha_k6,alpha_k12,alpha_k18,alpha_k24,alpha_k36,sms_score,n_expected,n_silent
2011-02-28,IGV,0.016797908573454798,0.03093983701366276,0.06588099121807936,0.12542484221077327,0.16345928360621254,0.2857142856734694,7,2
2011-03-31,IGV,0.0115221202156375,0.03138475826532676,0.07171377400235467,0.13143956683138358,0.15424424644958193,0.3333333332222222,3,1
2011-04-30,IGV,0.00982088924810316,0.03570857515991746,0.07891250870498567,0.14036496636288665,0.14857424989676077,0.0,3,0
2011-05-31,IGV,0.01039152073711956,0.03758786734026026,0.08547393255779005,0.14907699300758426,0.14289263526708468,0.374999999953125,8,3
2011-07-31,IGV,0.007354928632726361,0.03884823088272126,0.09693672282538156,0.15173190354382385,0.12642924587460658,0.33333333327777775,6,2
2011-09-30,IGV,0.01986263804968926,0.06019165378671716,0.11991744661574608,0.16103636793845025,0.12542522045888785,0.2499999999375,4,1
2012-01-31,IGV,0.0314933022499949,0.0895817941926552,0.14437697491109747,0.14217738083167197,0.1178758835328883,0.2499999999375,4,1
2012-03-31,IGV,0.0403290157370279,0.10005480856605681,0.141173729888761,0.1228594881842552,0.1061244379858146,0.7142857141836735,7,5
2012-06-30,IGV,0.0538541611209212,0.1159207858346459,0.119321128777121,0.0984029448829843,0.0931203242464893,0.3333333332222222,3,1
2012-10-31,IGV,0.061452457657901007,0.08893393045083982,0.0696617411917751,0.055837615167420106,0.056917553388751506,0.49999999991666666,6,3
2012-11-30,IGV,0.06360306044979419,0.0773719924487528,0.057418702709294604,0.048202125856691605,0.048367560013243105,0.19999999996,5,1
2012-12-31,IGV,0.0620666247137247,0.0654669676561998,0.044548783762063095,0.0392661631255681,0.0392661631255681,0.0,3,0
2013-02-28,IGV,0.0493027148547753,0.0380344413954393,0.0174777328659889,0.0171476796550006,0.0171476796550006,0.3333333332222222,3,1
2013-03-31,IGV,0.04111892132270419,0.022804679618198397,0.0055077738431418,0.0060696294197578,0.0060696294197578,0.6666666664444444,3,2
2007-10-31,QCLN,0.061124590121680145,-0.1856565460491325,-0.05182374048178684,-0.14920101562350985,-0.13340940227931553,0.0,4,0
2006-09-30,SMH,-0.09781698156384089,-0.03852444985366321,-0.17734642311811055,-0.1995199101574624,-0.07030509733373458,0.0,4,0
2007-04-30,SMH,-0.10316356974610308,-0.11596111959779021,-0.14926558489527642,-0.057391322792566646,-0.015179898164338956,0.0,3,0
2007-06-30,SMH,-0.13421792631656282,-0.09094754047676812,-0.24511183307293893,-0.08637560811727929,-0.012518885928622492,0.3333333332222222,3,1
2007-07-31,SMH,-0.23129884206983164,-0.16537994976450576,-0.22940763298027955,-0.023657138248916687,-0.04896567498960025,0.19999999996,5,1
2011-06-30,SMH,-0.07049197430014464,-0.09717220895309131,-0.14889718737689006,-0.10237203542044093,-0.028823186639726717,0.0,3,0
2012-07-31,SMH,-0.009646939609205596,-0.022597081683747744,-0.005021577396594368,0.07907063146984261,0.06420914737122707,0.2499999999375,4,1
