investor,deg_in,deg_out,betweenness,eigenvector,out_deg_wt,tps,portfolio_size,rank_deg_out,rank_betweenness,rank_eigenvector,rank_tps,rank_divergence
Adena Ventures,0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.1061,0.0,0.0,710,644,931,936,226
Summit Partners,0.005454545454545455,0.0,0.0,0.0371442869441635,0.0,0.0,0.0,934,644,82,936,2
TIMAR,0.0009090909090909091,0.0,0.0,7.657299923362971e-19,0.0,0.0,0.0,934,644,735,936,2
Golden Horn Ventures,0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.6039,0.0,0.0,710,644,931,936,226
Hermes Growth Partners,0.0027272727272727275,0.0,0.0,0.02265772896131042,0.0,0.0,0.0,934,644,141,936,2
Sumitomo Ventures,0.0009090909090909091,0.0,0.0,0.018228636346376986,0.0,0.0,0.0,934,644,173,936,2
Dell,0.0009090909090909091,0.0,0.0,0.018228636346376986,0.0,0.0,0.0,934,644,173,936,2
Acacia Capital Partners,0.0009090909090909091,0.0,0.0,7.697940341820275e-19,0.0,0.0,0.0,934,644,734,936,2
North Hill Ventures,0.0018181818181818182,0.0,0.0,0.006139642559632909,0.0,0.0,0.0,934,644,309,936,2
Random House,0.0027272727272727275,0.0,0.0,0.008061158715524168,0.0,0.0,0.0,934,644,278,936,2
The Stephens Group,0.0009090909090909091,0.0,0.0,8.01725791541336e-19,0.0,0.0,0.0,934,644,731,936,2
Pat Sullivan,0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.6349,0.0,0.0,710,644,931,936,226
Maryland Venture fund,0.0036363636363636364,0.0,0.0,0.00014820476541885442,0.0,0.0,0.0,934,644,535,936,2
Tweed Renaissance Investors Capital,0.0009090909090909091,0.0,0.0,7.392556625983974e-19,0.0,0.0,0.0,934,644,738,936,2
Sigma Capital Group,0.0009090909090909091,0.0,0.0,7.392556625983974e-19,0.0,0.0,0.0,934,644,738,936,2
Frontier Capital,0.0018181818181818182,0.0,0.0,7.109378567692442e-15,0.0,0.0,0.0,934,644,598,936,2
IDEA Fund Partners,0.0009090909090909091,0.0018181818181818182,0.0,3.554721538146585e-15,1.668,0.0,0.0,575,644,599,936,361
