investor,community_id
BankInvest,23
Chord Capital,17
EnerTech Capital,17
Finance Wales,17
OnPoint Technologies,17
4th Level Ventures,17
VentureTech Alliance,17
Sofinnova Ventures,29
Fujitsu,18
FGF,18
Harel Hertz Investment House,18
Clal Industries and Investments (CII),18
Genesis Partners,18
Portview Communications Partners,18
China Broadband Capital,18
GO Capital Fund,18
Naxicap Partners,29
Largam,29
XAnge Private Equity,29
CM-CIC Capital Prive,29
Endeavour Vision,29
Serena Capital,29
Ascent Biomedical Ventures,29
Edmond de Rothschild Venture Capital,29
Gimv,29
MP Healthcare Venture Management,38
Seroba Kernel,29
CDC Innovation,18
CEA Investissement,29
IDInvest Partners,29
Balderton Capital,3
Venture Technologies,29
I-Source Gestion,29
Creathor Venture Management,29
Caja Navarra,44
Eurecan,44
Nauta Capital,44
DFJ Esprit,4
Dawn Capital,5
HV Holtzbrinck Ventures,3
Court Square Ventures,44
Steelpoint Capital Partners,44
Sumitomo Bank Venture Fund,44
la Caixa,44
BBVA,44
CorporacciÃÂ³nCan - Grupo Corporativo Empresarial Caja Navara,44
Gilde Healthcare Partners,28
Novo A/S,28
Burrill & Company,28
Deephaven Capital Management,28
Malaysian Life Sciences Capital Fund,28
Integra Ventures,28
Janus,28
Masa Life Science Fund,28
Novo Ventures,28
Lundbeckfond Ventures,28
HOWZAT media,13
Citi Ventures,34
GE Ventures,34
Hermes Growth Partners,3
Equus Capital,28
Foxconn Technology Group,28
GLG Partners,28
Idealab,28
Power Play Energy,28
Powerplay Capital Management,28
Vulcan Capital,28
Wexford Capital,28
SingTel Innov8,3
Nexon,10
Draper & Associates,23
e.ventures,85
Jesselson Capital,10
Mark Shuttleworth,13
Rupert Pennant-Rea,13
Acacia Capital Partners,13
Thomas D. Lehrman,4
Dave Dolby,4
Doug Joon Lee,4
John DeMayo,4
Jonathan Shambroom,4
Larry Bock,4
PAR Capital Ventures,4
Peter Lehrman,4
Pritzker/Vlock Family Office,4
Thomas Lehrman,4
Tom Christopoul,4
ZIG Capital,4
Fonds de solidaritÃ© FTQ,18
Skypoint Capital,18
Louis Tetu,18
Propulsion Ventures,18
CTI Capital,28
Desjardins Venture Capital,18
Lothian Partners,18
Garage Technology Ventures Canada,18
Prospect Venture Partners,0
Tichenor Ventures,0
Advantage Capital Partners,38
Contango Capital Partners,18
Miramar Venture Partners,0
DFJ Frontier,0
DuPont Capital Management,18
Kinetic Ventures,18
Axis Capital Corporation,18
Business Development Bank of Canada,18
VenGrowth Capital Partners,18
El Dorado Ventures,22
Vesbridge Partners,22
Levensohn Venture Partners,34
SPM Capital,34
Synergy Life Science Partner,28
TL Ventures,10
Monitor Ventures,10
i-Hatch Ventures,10
Mitsui Ventures,29
Atlantic Bridge,5
SK Planet,13
Translink Capital,18
WI Harper Group,2
Monitor Clipper Funds,10
Murphree Venture Partners,10
POSCO BioVentures,45
Inventages Venture Capital Investment Inc.,45
Walden Venture Capital,29
Sippl MacDonald Ventures,2
Worldview Technology Partners,2
Startup Capital Ventures,0
PureTech Ventures,0
IQT,0
ComVentures,2
Madrone Capital Partners,3
RockPort Capital Partners,18
E.ON,18
MEMC Electronic Materials,18
GrandBanks Capital,18
Laurence Capital,18
TiE Angels,18
Michael E. Kolowich,18
Brook Venture Partners,22
Autodesk,18
Argonaut Partners,18
Easton Capital,18
Entrepia Ventures,18
New Science Ventures,18
Correlation Ventures,10
Thomvest Ventures,18
Summit Partners,4
Great Oaks Venture Capital,18
Landis Capital,18
Hillcrest Management,18
Bank Street Group,18
Shelter Capital Partners,18
Donald E. Graham,18
Hamilton South,18
Mike Krieger,18
Interpublic Group,18
Lachlan Murdoch,18
Tudor Investments,18
Vivi Nevo,18
WPP,3
Amiti Ventures,38
ITOCHU Corporation,2
Peacock Equity,10
WRF Capital,22
Kepha Partners,2
venture capitals,2
ABS Ventures,19
NewSpring Capital,2
Yahoo!,3
Industry Ventures,2
Evergreen Venture Partners,38
7 Health Ventures,38
Ofer Hi-Tech,38
Argonaut Private Equity,38
Cedar Fund,38
Stata Venture Partners,0
Walden Israel Venture Capital,38
DFJ Tamir Fishman Ventures,38
Brookside Capital,38
QVT Financial,38
The Social+Capital Partnership,3
Tugboat Ventures,3
Innovacom,29
Commerce Ventures,3
"Duff, Ackerman and Goodrich",2
FranÃ§ois Stieger,3
Juniper Networks,0
Miven Venture Partners,18
Anvil Investment Associates,2
CTTV Investments,2
Chevron Technology Ventures,2
Clarus Ventures,28
Lightstone Ventures,38
MedImmune Ventures,38
Foundation Medical Partners,38
Hudson Ventures,10
OTC Asset Management,29
Quest for Growth,28
Industrifonden,29
Nordic Venture Partners,29
Teknoinvest,29
Advent Venture Partners,19
David Sacks,34
Brightspark Ventures,4
OMERS Ventures,13
Broadview Ventures,4
Remeditex Ventures,4
The Peierls Foundation,4
CommonAngels,0
Massachusetts Technology Development Corporation,0
TLcom Capital Partners,4
TTP Ventures,4
Red Abbey Venture Partners,38
GreatPoint Ventures,4
Arkansas Risk Capital Matching Fund,17
Dillards,17
Gravity Ventures,17
North Atlantic Capital,17
Cardinal Venture Capital,2
John Johnson,13
Ken Lerer,13
BancBoston Ventures,13
Dolphin Equity Partners,13
John Hancock Global Technology Fund,13
Vedanta Capital,2
Martha Stewart Living Omnimedia,13
Larry Augustin,23
eBay,19
Adams Capital Management,23
Alex Mendez,23
Chris Hadsell,23
Stuart Davidson,23
Jack Xu,34
GSR Ventures Management,34
Richmond Global,34
Signia Venture Partners,10
Phoenix Venture Partners,34
Rebate Networks,34
Circle Financial Group,34
PKS Capital,34
General Electric,10
Time Warner,10
Cox Enterprises,10
David Cowan,13
Gabriel Venture Partners,10
Angel Investors,4
ClearVue Partners,28
SeaPoint Ventures,22
Bain Capital,28
HealthCap,28
Johnson & Johnson Development Corporation,28
L Capital Partners,28
Quaker BioVentures,28
Dixon Doll,18
Jon Callaghan,13
J.P. Morgan Securities Inc.,3
Scott Kurnit,13
Stan Shuman,18
Aayush Phumbhra,13
Dharmesh Shah,13
Mike Davidson,13
Reza Hussein,13
Shan Mehta,13
Tekton Ventures,13
Constellation Ventures,0
StarVest Partners,2
Michael Dearing,5
AOL,0
GE Commercial Finance,34
Meritech Capital Partners,3
Pond Ventures,34
W7 Brazil Capital,23
Tata Capital,34
Iris Capital,3
Luke Nosek,34
Michael Birch,34
Kennet Partners,34
Fidelity Growth Partners Europe,34
Growth Capital Fund,34
BayTech Venture Capital,2
Dotcorp Asset Management,29
GP BullHound Sidecar,34
Ram Shriram,17
TVC Capital,22
The Hillman Company,22
Yaletown Venture Partners,22
Austral Capital,22
Alan Alexrod,22
Bill Baker,22
John Cunningham,22
Mark Wachen,22
Fluke Venture Partners,22
Montlake Capital,22
BEV Capital,0
Ignition Capital,22
Michael Barrett,5
Mobius Venture Capital,13
Lead Edge Capital,3
Mercury Fund,0
Cambridge Consultants,2
ESB Novusmodus,2
Updata Partners,18
LaunchPad Venture Group,36
Inflexion Partners,13
DT Capital Partners,2
Hotung Venture Group,2
Morningside Group,2
SBI Ventures Group,2
UMC Capital,2
ABB Technology Ventures,2
Dominion Energy Technologies,2
Point Judith Capital,0
Alsop Louie Partners,85
Quest Venture Partners,19
Telenav,19
BlackRock,0
Viacom,2
AMD,19
Moshe Yanai,5
Glenbrook Partners,5
Rhodium,5
Zohar Gilon,5
Tamares,5
BRM Capital,38
Shlomo Kramer,3
Mithril Capital Management,13
OPENAIR Equity Partners,13
Summerhill Venture Partners,0
MHS Capital,19
Harbert Venture Partners,13
David Frankel,4
PayPal,4
VeriFone,10
Michael Paolucci,13
Spring Mountain Capital,13
Edison Ventures,13
IA Capital Partners,13
NYC Seed,13
Integrated Device Technology,13
Schlumberger,13
IDG Ventures USA,13
ADS Global Partners,13
Oxsino Venture Ltd.,13
Chamath Palihapitiya,23
Devdutt Yellurkar,13
John Ruffolo,13
Random House,10
Ching-Ho Fung,10
Matt Higgins,3
RSE Ventures,3
Michael Katz,10
Nat Turner,38
Stage One Capital,18
KT Venture Group,38
@Ventures,2
Clean Pacific Ventures,2
AdInvest,38
Second Century Ventures,38
WestRiver Capital,38
Clal,38
Inventec Appliances,38
Outlook Ventures,38
Southern Cross Venture Partners,10
Sand Hill Capital,10
GlobalSCAPE,0
Austin Ligon,10
Henry Vogel,10
Reed Elsevier Ventures,13
Global Catalyst Partners,3
Technology Crossover Ventures,5
Bank of America,2
JMI Equity,18
Intelligent Beauty,5
PAR Capital Management,5
Comerica Bank,18
ORIX Venture Finance,18
Merchant Banking Devision,18
Northzone,18
JovInvestment Management,18
AgeChem Venture Fund,38
Growth Works,18
Ventures West,18
BC Advantage Funds,18
Canadian Medical Discoveries Fund,18
Discovery Capital,18
Northwater Capital,18
Cenovus Energy,18
Chrysalix Energy,18
Entrepreneurs Fund,18
Matrix Asset Management,18
The Ontario Capital Growth,18
MDS Capital,18
LMS Capital,3
CBRE Group,34
Steelcase,34
Bob Pasker,22
Robert Bosch Venture Capital,10
SCF Arizona,10
Mousse Partners,4
Redhills Ventures,4
Health Enterprise Partners,4
Daher Capital,4
Rincon Venture Partners,36
Jaina Capital,4
CalCEF Clean Energy Angel Fund,2
EnCana,2
Pacifica Fund,2
Sand Hill Angels,2
Hambrecht & Quist Capital Management,2
Mesa Verde Venture Partners,28
Asahi Kasei,34
Bio*One Capital,34
NGN Capital,34
Mediphase Venture Partners,38
Sprout Group,38
Genesys Capital,28
"Thomas, McNerney & Partners",28
